publikationsjahr;wohnviertel_id;wohnviertel_name;anteil_sozialhilfeempfaenger;anteil_auslaender;anteil_personen_ohne_religionszugehoerigkeit;anteil_personen_in_einpersonenhaushalten;gymnasialquote;altersquotient;anteil_sesshafte;jugendquotient;baujahr_der_wohngebaeude;anteil_einfamilienhaeuser;anteil_gruenflaechen;flaeche_pro_wohnung;wohnflaeche_pro_person;vermoegenssteuer_pro_veranlagung;einkommenssteuer_pro_veranlagung;erwerbstaetigenquote;arbeitsplaetze_pro_einwohner;arbeitslosenquote
2019;5;St. Alban;0.0382347841;0.344980059;0.5086700191;0.2372775244;0.4888888889;0.438564752;0.3256459164;0.3003165988;1939.0912898;0.3358458961;0.3251612185;93.409726538;48.422274199;5697.8093081;16688.864751;0.7285669841;2.2766626224;0.0295674895
2019;14;Wettstein;0.0330935252;0.3188848921;0.554676259;0.2585888437;0.6612903226;0.2913961039;0.3606115108;0.2129329004;1933.3366337;0.3338048091;0.2792035016;83.103856666;45.328020756;1568.4051447;11237.065478;0.8001764749;1.9410736405;0.038280833
2019;19;Kleinhüningen;0.1263121064;0.4797060882;0.3960811756;0.1893939394;0.2708333333;0.293951385;0.355143457;0.3216506501;1946.3493976;0.156626506;0.2255022919;70.376193975;32.244484629;195.16423589;5027.181357;0.6593773305;2.1176331577;0.0631074121
2019;20;Riehen;0.0370197687;0.2661786647;0.4874114137;0.1649818806;0.5482233503;0.4799064611;0.4254942186;0.377706565;1957.7917973;0.656212304;0.7962272279;102.7498071;47.529964691;3716.3038432;13499.917164;0.74117237;0.1670433402;0.0193855888
2020;6;Gundeldingen;0.0683296024;0.3970792026;;0.2832781187;0.2950819672;0.2246420956;0.3170770707;0.2040816327;1932.5616246;0.0287114846;0.1774198731;70.386958048;39.012817031;617.95181985;7492.6236362;0.7659613467;0.5706260442;
2020;8;Bachletten;0.0254082156;0.2240609211;;0.2109623493;0.595;0.359462079;0.4121695834;0.2951296341;1934.400319;0.5586124402;0.4131432106;92.738964056;46.154301354;2310.8668815;12188.763138;0.7690934042;0.2013718966;
2020;9;Gotthelf;0.044447641;0.2859608746;;0.2886567603;0.4909090909;0.3421354765;0.3652186421;0.2541905855;1925.0652396;0.3669724771;0.3197877716;74.480085857;41.421215242;4563.7886488;9091.0904773;0.7341245851;0.2847147596;
2020;20;Riehen;0.0344634613;0.2711374341;;0.1654124663;0.5315533981;0.4781593288;0.4244741874;0.3766110198;1958.197789;0.655371305;0.7962399194;102.65163386;47.486109139;4071.7150021;12931.639783;0.7503934401;0.1588472385;
2021;3;Am Ring;0.0313189237;0.3775033083;;0.2720262194;0.550458716;0.3184722033;0.2936858861;0.222237325;1920.889637742207;0.194608256107;0.2408567116;81.75565123789;45.099479468;2094.5;11993.3;0.7824608;1.0114517055;
2021;6;Gundeldingen;0.0623445356;0.4002646203;;0.2889848104;0.291666667;0.2248792999;0.316644615;0.2005129753;1932.715583508036;0.028651292802;0.1762109013;70.286723040711;39.295213638;554.9;7472.3;0.7627559;0.5766547817;
2021;7;Bruderholz;0.0187361067;0.2504498783;;0.1479245283;0.690322581;0.4123632175;0.4299777707;0.4012286427;1949.47235462345;0.729742612011;0.7121272768;109.5728980322;48.398167116;9469.7;17603.7;0.7402602;0.1358121034;
2021;10;Iselin;0.0913255418;0.3832736242;;0.2776773883;0.297520661;0.2408271007;0.3367592647;0.2573691157;1937.853103448275;0.166896551724;0.3626791795;68.764107778342;37.040236116;484.8;6575.8;0.712183;0.1559287137;
2021;12;Altstadt Kleinbasel;0.0654515327;0.3881524441;;0.3602649007;0.269230769;0.2720848057;0.2850041425;0.1495877503;1881.584507042253;0.098591549295;0.0809595313;70.930759803921;43.321412804;1898.4;10098.1;0.7331914;1.5276966556;
2021;13;Clara;0.0837026096;0.4670113245;;0.2900286384;0.255319149;0.3288237505;0.3316100443;0.1976700489;1929.404761904761;0.023809523809;0.159184092;65.710898502495;36.892736267;523.1;6483.9;0.6917513;0.5891255128;
2021;17;Matthäus;0.1109538818;0.5068501962;;0.2645417255;0.259067358;0.1910547156;0.3063028192;0.2080633549;1925.374125874125;0.068181818181;0.1660807391;67.229024689978;35.985475086;574.4;6827.7;0.713825;0.1833720331;
2021;20;Riehen;0.0328556288;0.2765771163;;0.1635821174;0.524137931;0.4675258172;0.421144806;0.384569429;1958.639187574671;0.656391875746;0.7946988909;102.605732725892;47.186238404;3325.3;12494.4;0.7384675;0.1604026597;
